Dutch,English
vuur,firework
peter,Peter
verkeerde,wrong
moesten,had to
lieve,dear
tom,Tom
geprobeerd,tried
meeste,most of them
kijkt,looks
stierf,died
hotel,hotel
droom,dream
verliefd,in love
jammer,Shame
gedacht,thought
let,watchmanship
rug,back
vertaling,translation
slaan,to beat
gaten,holes
doel,goal
meter,meter
drugs,drug
gevaarlijk,dangerous
geweldige,great
lijst,list
fbi,FBI
namen,take
deden,did
jonge,young
schelen,care
goedemorgen,Good morning
dragen,wear
iedere,each
excuseer,excuse
stom,stupid
jong,young
zover,as far
betaald,paid
kende,knew
kleren,clothes
gesprek,conversation
lukt,succeeds
welk,which
vertelt,tells
prijs,price
voorstellen,to suggest
huwelijk,wedding
tv,TV
missen,to miss
schrijven,to write
groep,group
herinneren,to remind
regels,lines
vonden,found
vliegtuig,aeroplane
onderweg,en route
delen,to share
geleerd,learned
stomme,stupid
bestaat,consists
james,James
vertrouw,trust
daarvoor,before that
shit,shit
trekken,Pull
zak,bag
vanuit,from
gebracht,brought
stem,voice
gezin,family
keuze,choice
raken,touch
direct,straight away
verdomde,damn
boot,boat
dom,stupid
verleden,past
gemist,missed
duurt,takes
gedachten,thoughts
situatie,situation
moe,tired
deal,deal
tafel,table
band,band
generaal,general
reis,trip
partner,partner
leuke,nice
raad,council
honger,hungry
geraakt,touched
gebouw,building
zwaar,heavy
gast,guest
gestuurd,steered
geboren,born
bracht,brought
rechter,right
agenten,agents
bureau,desk
macht,power
spreek,speak
derde,third
regel,rule
kolonel,colonel
ruzie,row
oma,Grandma
zeiden,said
speelt,plays
dronken,drunk
vliegen,to fly
luitenant,lieutenant
gelooft,believes
arme,poor
seconden,second
liep,walked
tuurlijk,sure
red,red
gefeliciteerd,congratulations
koud,cold
regelen,to arrange
henry,Henry
bericht,message
vlucht,flight
moeite,trouble
hel,hell
dame,Lady
oog,eye
ma,ma
dansen,dancing
teken,sign
onmogelijk,impossible
gewerkt,worked
helaas,unfortunately
grapje,just kidding
arm,arm
show,show
lachen,laugh
leggen,lay
sleutel,key
wet,law
liefje,Darling
